cod,razao,fantasia,endereco,numero,bairro,cidade,uf,vendedores,lat,lng,precisao
17579,RODOSNACK O.LANCH.E RESTAURANTE LT,RODOSNACK O.LANCH.E RESTAURANT,"ROD BR 381 KM 601,1",S/N,ZONA RURAL,OLIVEIRA,MG,73;74,-20.6971953,-44.8273969,cidade
17589,VAGNER SERAFIM DIAS ME,VAGNER SERAFIM DIAS ME,R.FRANCISCO DE BARROS,11,STA TEREZINHA,PASSA QUATRO,MG,55;58;93,-22.3893803,-44.9666039,cidade
17593,ROSEANE PEREIRA PENHA,ROSEANE PEREIRA PENHA,R.ANTONIO SANDY,S/N,BELA VISTA,TRES CORACOES,MG,26;38;70;162,-21.6893019,-45.2454478,rua
17594,SUPERMERCADO SOUZA REIS LTDA,SM.REIS,RUA FRANCISCO PINTO DE SOUZA,235,CENTRO,SAO THOME DAS LETRAS,MG,26;38;70;123;162,-21.720913,-44.9856302,rua
17611,MARILY NUBIA DOMINGUES DOS SANTOS CARVALHO - ME,MARILY NUBIA DOMINGUES DOS SAN,PRACA DOM OTAVIO,179,CENTRO,TURVOLANDIA,MG,15;30;64;99,-21.8757236,-45.7877819,rua
17623,HELIO DIAS ME,HELIO DIAS ME,R.CORONEL BRITO FILHO,227,FATIMA,POUSO ALEGRE,MG,29;67;157;159,-22.2237137,-45.9190659,rua
17628,CELIO DE SOUZA ROQUE ME,MERC.FRANGO,R.ALFENAS,568,ROSARIO,AREADO,MG,3;37;100;161,-21.3616855,-46.1403071,rua
17646,ANA MARIA DA SILVA MONTEIRO ME,ANA MARIA DA SILVA MONTEIRO ME,AV FERNANDO PETRONILHO,17,CENTRO,POUSO ALTO,MG,55;58;93,-22.1959453,-44.9732731,rua
17661,MARE MANSA LTDA,MARE MANSA LTDA,AV. PADRE LORENCO DA COSTA MOREIRA,2915,N.S.FATIMA,ITAJUBA,MG,88;92;94;155,-22.4238234,-45.4524156,cidade
17664,MERCEARIA E QUITANDA DO WAGNER LTDA,QUITANDA DO PRODUTOR,TRAVESSA N.SENHORA DOS REMEDIOS,63,CENTRO,CAXAMBU,MG,55;58;93,-21.9755872,-44.9311403,cidade
17668,MAURO LUCIO RIBEIRO & CIA LTDA,MAURO LUCIO RIBEIRO & CIA LTDA,AVE VINTE E UM DE NOVEMBRO,29,VILA RUBENS,ITAJUBA,MG,32;52;72;156,-22.4238234,-45.4524156,cidade
